Date,DowJones,NASDAQ,SP500
2022-02-28,33892.6015625,13751.400390625,4373.93994140625
2022-03-01,33294.94921875,13532.4599609375,4306.259765625
2022-03-02,33891.3515625,13752.01953125,4386.5400390625
2022-03-03,33794.66015625,13537.9404296875,4363.490234375
2022-03-04,33614.80078125,13313.4404296875,4328.8701171875
2022-03-07,32817.37890625,12830.9599609375,4201.08984375
2022-03-08,32632.640625,12795.5498046875,4170.7001953125
2022-03-09,33286.25,13255.5498046875,4277.8798828125
2022-03-10,33174.0703125,13129.9599609375,4259.52001953125
2022-03-11,32944.19140625,12843.8095703125,4204.31005859375
2022-03-14,32945.23828125,12581.2197265625,4173.10986328125
2022-03-15,33544.33984375,12948.6201171875,4262.4501953125
2022-03-16,34063.1015625,13436.5498046875,4357.85986328125
2022-03-17,34480.76171875,13614.7802734375,4411.669921875
2022-03-18,34754.9296875,13893.83984375,4463.1201171875
2022-03-21,34552.98828125,13838.4599609375,4461.18017578125
2022-03-22,34807.4609375,14108.8203125,4511.60986328125
2022-03-23,34358.5,13922.599609375,4456.240234375
2022-03-24,34707.94140625,14191.83984375,4520.16015625
2022-03-25,34861.23828125,14169.2998046875,4543.06005859375
2022-03-28,34955.890625,14354.900390625,4575.52001953125
2022-03-29,35294.19140625,14619.6396484375,4631.60009765625
2022-03-30,35228.80859375,14442.26953125,4602.4501953125
2022-03-31,34678.3515625,14220.51953125,4530.41015625
2022-04-01,34818.26953125,14261.5,4545.85986328125
2022-04-04,34921.87890625,14532.5498046875,4582.64013671875
2022-04-05,34641.1796875,14204.169921875,4525.1201171875
2022-04-06,34496.51171875,13888.8203125,4481.14990234375
2022-04-07,34583.5703125,13897.2998046875,4500.2099609375
2022-04-08,34721.12109375,13711.0,4488.27978515625
2022-04-11,34308.078125,13411.9599609375,4412.52978515625
2022-04-12,34220.359375,13371.5703125,4397.4501953125
2022-04-13,34564.58984375,13643.58984375,4446.58984375
2022-04-14,34451.23046875,13351.080078125,4392.58984375
2022-04-18,34411.69140625,13332.3603515625,4391.68994140625
2022-04-19,34911.19921875,13619.66015625,4462.2099609375
2022-04-20,35160.7890625,13453.0703125,4459.4501953125
2022-04-21,34792.76171875,13174.650390625,4393.66015625
2022-04-22,33811.3984375,12839.2900390625,4271.77978515625
2022-04-25,34049.4609375,13004.849609375,4296.1201171875
2022-04-26,33240.1796875,12490.740234375,4175.2001953125
2022-04-27,33301.9296875,12488.9296875,4183.9599609375
2022-04-28,33916.390625,12871.5302734375,4287.5
2022-04-29,32977.2109375,12334.6396484375,4131.93017578125
2022-05-02,33061.5,12536.01953125,4155.3798828125
2022-05-03,33128.7890625,12563.759765625,4175.47998046875
2022-05-04,34061.05859375,12964.8603515625,4300.169921875
2022-05-05,32997.96875,12317.6904296875,4146.8701171875
2022-05-06,32899.37109375,12144.66015625,4123.33984375
2022-05-09,32245.69921875,11623.25,3991.239990234375
2022-05-10,32160.740234375,11737.669921875,4001.050048828125
2022-05-11,31834.109375,11364.240234375,3935.179931640625
2022-05-12,31730.30078125,11370.9599609375,3930.080078125
2022-05-13,32196.66015625,11805.0,4023.889892578125
2022-05-16,32223.419921875,11662.7900390625,4008.010009765625
2022-05-17,32654.58984375,11984.51953125,4088.85009765625
2022-05-18,31490.0703125,11418.150390625,3923.679931640625
2022-05-19,31253.130859375,11388.5,3900.7900390625
2022-05-20,31261.900390625,11354.6201171875,3901.360107421875
2022-05-23,31880.240234375,11535.26953125,3973.75
2022-05-24,31928.619140625,11264.4501953125,3941.47998046875
2022-05-25,32120.279296875,11434.740234375,3978.72998046875
2022-05-26,32637.189453125,11740.650390625,4057.840087890625
2022-05-27,33212.9609375,12131.1298828125,4158.240234375
2022-05-31,32990.12109375,12081.3896484375,4132.14990234375
2022-06-01,32813.23046875,11994.4599609375,4101.22998046875
2022-06-02,33248.28125,12316.900390625,4176.81982421875
2022-06-03,32899.69921875,12012.73046875,4108.5400390625
2022-06-06,32915.78125,12061.3701171875,4121.43017578125
2022-06-07,33180.140625,12175.23046875,4160.68017578125
2022-06-08,32910.8984375,12086.26953125,4115.77001953125
2022-06-09,32272.7890625,11754.23046875,4017.820068359375
2022-06-10,31392.7890625,11340.01953125,3900.860107421875
2022-06-13,30516.740234375,10809.23046875,3749.6298828125
2022-06-14,30364.830078125,10828.349609375,3735.47998046875
2022-06-15,30668.529296875,11099.150390625,3789.989990234375
2022-06-16,29927.0703125,10646.099609375,3666.77001953125
2022-06-17,29888.779296875,10798.349609375,3674.840087890625
2022-06-21,30530.25,11069.2998046875,3764.7900390625
2022-06-22,30483.130859375,11053.080078125,3759.889892578125
2022-06-23,30677.359375,11232.1904296875,3795.72998046875
2022-06-24,31500.6796875,11607.6201171875,3911.739990234375
2022-06-27,31438.259765625,11524.5498046875,3900.110107421875
2022-06-28,30946.990234375,11181.5400390625,3821.550048828125
2022-06-29,31029.310546875,11177.8896484375,3818.830078125
2022-06-30,30775.4296875,11028.740234375,3785.3798828125
2022-07-01,31097.259765625,11127.849609375,3825.330078125
2022-07-05,30967.8203125,11322.240234375,3831.389892578125
2022-07-06,31037.6796875,11361.849609375,3845.080078125
2022-07-07,31384.55078125,11621.349609375,3902.6201171875
2022-07-08,31338.150390625,11635.3095703125,3899.3798828125
2022-07-11,31173.83984375,11372.599609375,3854.429931640625
2022-07-12,30981.330078125,11264.73046875,3818.800048828125
2022-07-13,30772.7890625,11247.580078125,3801.780029296875
2022-07-14,30630.169921875,11251.1904296875,3790.3798828125
2022-07-15,31288.259765625,11452.419921875,3863.159912109375
2022-07-18,31072.609375,11360.0498046875,3830.85009765625
2022-07-19,31827.05078125,11713.150390625,3936.68994140625
2022-07-20,31874.83984375,11897.650390625,3959.89990234375
2022-07-21,32036.900390625,12059.6103515625,3998.949951171875
2022-07-22,31899.2890625,11834.1103515625,3961.6298828125
2022-07-25,31990.0390625,11782.669921875,3966.840087890625
2022-07-26,31761.5390625,11562.5703125,3921.050048828125
2022-07-27,32197.58984375,12032.419921875,4023.610107421875
2022-07-28,32529.630859375,12162.58984375,4072.429931640625
2022-07-29,32845.12890625,12390.6904296875,4130.2900390625
2022-08-01,32798.3984375,12368.98046875,4118.6298828125
2022-08-02,32396.169921875,12348.759765625,4091.18994140625
2022-08-03,32812.5,12668.16015625,4155.169921875
2022-08-04,32726.8203125,12720.580078125,4151.93994140625
2022-08-05,32803.46875,12657.5498046875,4145.18994140625
2022-08-08,32832.5390625,12644.4599609375,4140.06005859375
2022-08-09,32774.41015625,12493.9296875,4122.47021484375
2022-08-10,33309.51171875,12854.7998046875,4210.240234375
2022-08-11,33336.671875,12779.91015625,4207.27001953125
2022-08-12,33761.05078125,13047.1904296875,4280.14990234375
2022-08-15,33912.44140625,13128.0498046875,4297.14013671875
2022-08-16,34152.01171875,13102.5498046875,4305.2001953125
2022-08-17,33980.3203125,12938.1201171875,4274.0400390625
2022-08-18,33999.0390625,12965.33984375,4283.740234375
2022-08-19,33706.73828125,12705.2197265625,4228.47998046875
2022-08-22,33063.609375,12381.5703125,4137.990234375
2022-08-23,32909.58984375,12381.2998046875,4128.72998046875
2022-08-24,32969.23046875,12431.5302734375,4140.77001953125
2022-08-25,33291.78125,12639.26953125,4199.1201171875
2022-08-26,32283.400390625,12141.7099609375,4057.659912109375
2022-08-29,32098.990234375,12017.669921875,4030.610107421875
2022-08-30,31790.869140625,11883.1396484375,3986.159912109375
2022-08-31,31510.4296875,11816.2001953125,3955.0
2022-09-01,31656.419921875,11785.1298828125,3966.85009765625
2022-09-02,31318.439453125,11630.8603515625,3924.260009765625
2022-09-06,31145.30078125,11544.91015625,3908.18994140625
2022-09-07,31581.279296875,11791.900390625,3979.8701171875
2022-09-08,31774.51953125,11862.1298828125,4006.179931640625
2022-09-09,32151.7109375,12112.3095703125,4067.360107421875
2022-09-12,32381.33984375,12266.41015625,4110.41015625
2022-09-13,31104.970703125,11633.5703125,3932.68994140625
2022-09-14,31135.08984375,11719.6796875,3946.010009765625
2022-09-15,30961.8203125,11552.3603515625,3901.35009765625
2022-09-16,30822.419921875,11448.400390625,3873.330078125
2022-09-19,31019.6796875,11535.01953125,3899.889892578125
2022-09-20,30706.23046875,11425.0498046875,3855.929931640625
2022-09-21,30183.779296875,11220.1904296875,3789.929931640625
2022-09-22,30076.6796875,11066.8095703125,3757.989990234375
2022-09-23,29590.41015625,10867.9296875,3693.22998046875
2022-09-26,29260.810546875,10802.919921875,3655.0400390625
2022-09-27,29134.990234375,10829.5,3647.2900390625
2022-09-28,29683.740234375,11051.6396484375,3719.0400390625
2022-09-29,29225.609375,10737.509765625,3640.469970703125
2022-09-30,28725.509765625,10575.6201171875,3585.6201171875
2022-10-03,29490.890625,10815.4296875,3678.429931640625
2022-10-04,30316.3203125,11176.41015625,3790.929931640625
2022-10-05,30273.869140625,11148.6396484375,3783.280029296875
2022-10-06,29926.939453125,11073.3095703125,3744.52001953125
2022-10-07,29296.7890625,10652.400390625,3639.659912109375
2022-10-10,29202.880859375,10542.099609375,3612.389892578125
2022-10-11,29239.189453125,10426.1904296875,3588.840087890625
2022-10-12,29210.849609375,10417.099609375,3577.030029296875
2022-10-13,30038.720703125,10649.150390625,3669.909912109375
2022-10-14,29634.830078125,10321.3896484375,3583.070068359375
2022-10-17,30185.8203125,10675.7998046875,3677.949951171875
2022-10-18,30523.80078125,10772.400390625,3719.97998046875
2022-10-19,30423.810546875,10680.509765625,3695.159912109375
2022-10-20,30333.58984375,10614.83984375,3665.780029296875
2022-10-21,31082.560546875,10859.7197265625,3752.75
2022-10-24,31499.619140625,10952.6103515625,3797.340087890625
2022-10-25,31836.740234375,11199.1201171875,3859.110107421875
2022-10-26,31839.109375,10970.990234375,3830.60009765625
2022-10-27,32033.279296875,10792.669921875,3807.300048828125
2022-10-28,32861.80078125,11102.4501953125,3901.06005859375
2022-10-31,32732.94921875,10988.150390625,3871.97998046875
2022-11-01,32653.19921875,10890.849609375,3856.10009765625
2022-11-02,32147.759765625,10524.7998046875,3759.68994140625
2022-11-03,32001.25,10342.9404296875,3719.889892578125
2022-11-04,32403.220703125,10475.25,3770.550048828125
2022-11-07,32827.0,10564.51953125,3806.800048828125
2022-11-08,33160.828125,10616.2001953125,3828.110107421875
2022-11-09,32513.939453125,10353.169921875,3748.570068359375
2022-11-10,33715.37109375,11114.150390625,3956.3701171875
2022-11-11,33747.859375,11323.330078125,3992.929931640625
2022-11-14,33536.69921875,11196.2197265625,3957.25
2022-11-15,33592.921875,11358.41015625,3991.72998046875
2022-11-16,33553.828125,11183.66015625,3958.7900390625
2022-11-17,33546.3203125,11144.9599609375,3946.56005859375
2022-11-18,33745.69140625,11146.0595703125,3965.340087890625
2022-11-21,33700.28125,11024.509765625,3949.93994140625
2022-11-22,34098.1015625,11174.41015625,4003.580078125
2022-11-23,34194.05859375,11285.3203125,4027.260009765625
2022-11-25,34347.03125,11226.3603515625,4026.1201171875
2022-11-28,33849.4609375,11049.5,3963.93994140625
2022-11-29,33852.53125,10983.7802734375,3957.6298828125
2022-11-30,34589.76953125,11468.0,4080.110107421875
2022-12-01,34395.01171875,11482.4501953125,4076.570068359375
2022-12-02,34429.87890625,11461.5,4071.699951171875
2022-12-05,33947.1015625,11239.9404296875,3998.840087890625
2022-12-06,33596.33984375,11014.8896484375,3941.260009765625
2022-12-07,33597.921875,10958.5498046875,3933.919921875
2022-12-08,33781.48046875,11082.0,3963.510009765625
2022-12-09,33476.4609375,11004.6201171875,3934.3798828125
2022-12-12,34005.0390625,11143.740234375,3990.56005859375
2022-12-13,34108.640625,11256.8095703125,4019.64990234375
2022-12-14,33966.3515625,11170.8896484375,3995.320068359375
2022-12-15,33202.21875,10810.5302734375,3895.75
2022-12-16,32920.4609375,10705.41015625,3852.360107421875
2022-12-19,32757.5390625,10546.0302734375,3817.659912109375
2022-12-20,32849.73828125,10547.1103515625,3821.6201171875
2022-12-21,33376.48046875,10709.3701171875,3878.43994140625
2022-12-22,33027.48828125,10476.1201171875,3822.389892578125
2022-12-23,33203.9296875,10497.8603515625,3844.820068359375
2022-12-27,33241.55859375,10353.23046875,3829.25
2022-12-28,32875.7109375,10213.2900390625,3783.219970703125
2022-12-29,33220.80078125,10478.08984375,3849.280029296875
2022-12-30,33147.25,10466.48046875,3839.5
2023-01-03,33136.37109375,10386.98046875,3824.139892578125
2023-01-04,33269.76953125,10458.759765625,3852.969970703125
2023-01-05,32930.078125,10305.240234375,3808.10009765625
2023-01-06,33630.609375,10569.2900390625,3895.080078125
2023-01-09,33517.6484375,10635.650390625,3892.090087890625
2023-01-10,33704.1015625,10742.6298828125,3919.25
2023-01-11,33973.01171875,10931.669921875,3969.610107421875
2023-01-12,34189.96875,11001.099609375,3983.169921875
2023-01-13,34302.609375,11079.16015625,3999.090087890625
2023-01-17,33910.8515625,11095.1103515625,3990.969970703125
2023-01-18,33296.9609375,10957.009765625,3928.860107421875
2023-01-19,33044.55859375,10852.26953125,3898.85009765625
2023-01-20,33375.48828125,11140.4296875,3972.610107421875
2023-01-23,33629.55859375,11364.41015625,4019.81005859375
2023-01-24,33733.9609375,11334.26953125,4016.949951171875
2023-01-25,33743.83984375,11313.3603515625,4016.219970703125
2023-01-26,33949.41015625,11512.41015625,4060.429931640625
2023-01-27,33978.078125,11621.7099609375,4070.56005859375
2023-01-30,33717.08984375,11393.8095703125,4017.77001953125
2023-01-31,34086.0390625,11584.5498046875,4076.60009765625
2023-02-01,34092.9609375,11816.3203125,4119.2099609375
2023-02-02,34053.94140625,12200.8203125,4179.759765625
2023-02-03,33926.01171875,12006.9501953125,4136.47998046875
2023-02-06,33891.01953125,11887.4501953125,4111.080078125
2023-02-07,34156.69140625,12113.7900390625,4164.0
2023-02-08,33949.01171875,11910.51953125,4117.85986328125
2023-02-09,33699.87890625,11789.580078125,4081.5
2023-02-10,33869.26953125,11718.1201171875,4090.4599609375
2023-02-13,34245.9296875,11891.7900390625,4137.2900390625
2023-02-14,34089.26953125,11960.150390625,4136.1298828125
2023-02-15,34128.05078125,12070.58984375,4147.60009765625
2023-02-16,33696.8515625,11855.830078125,4090.409912109375
2023-02-17,33826.69140625,11787.26953125,4079.090087890625
2023-02-21,33129.58984375,11492.2998046875,3997.340087890625
2023-02-22,33045.08984375,11507.0703125,3991.050048828125
