Date,DowJones,NASDAQ,SP500
2023-02-23,33153.91015625,11590.400390625,4012.320068359375
2023-02-24,32816.921875,11394.9404296875,3970.0400390625
2023-02-27,32889.08984375,11466.98046875,3982.239990234375
2023-02-28,32656.69921875,11455.5400390625,3970.14990234375
2023-03-01,32661.83984375,11379.48046875,3951.389892578125
2023-03-02,33003.5703125,11462.98046875,3981.35009765625
2023-03-03,33390.96875,11689.009765625,4045.639892578125
2023-03-06,33431.44140625,11675.740234375,4048.419921875
2023-03-07,32856.4609375,11530.330078125,3986.3701171875
2023-03-08,32798.3984375,11576.0,3992.010009765625
2023-03-09,32254.859375,11338.349609375,3918.320068359375
2023-03-10,31909.640625,11138.8896484375,3861.590087890625
2023-03-13,31819.140625,11188.83984375,3855.760009765625
2023-03-14,32155.400390625,11428.150390625,3919.2900390625
2023-03-15,31874.5703125,11434.0498046875,3891.929931640625
2023-03-16,32246.55078125,11717.2802734375,3960.280029296875
2023-03-17,31861.98046875,11630.509765625,3916.639892578125
2023-03-20,32244.580078125,11675.5400390625,3951.570068359375
2023-03-21,32560.599609375,11860.1103515625,4002.8701171875
2023-03-22,32030.109375,11669.9599609375,3936.969970703125
2023-03-23,32105.25,11787.400390625,3948.719970703125
2023-03-24,32237.529296875,11823.9599609375,3970.989990234375
2023-03-27,32432.080078125,11768.83984375,3977.530029296875
2023-03-28,32394.25,11716.080078125,3971.27001953125
2023-03-29,32717.599609375,11926.240234375,4027.81005859375
2023-03-30,32859.03125,12013.4697265625,4050.830078125
2023-03-31,33274.1484375,12221.91015625,4109.31005859375
2023-04-03,33601.1484375,12189.4501953125,4124.509765625
2023-04-04,33402.37890625,12126.330078125,4100.60009765625
2023-04-05,33482.71875,11996.8603515625,4090.3798828125
2023-04-06,33485.2890625,12087.9599609375,4105.02001953125
2023-04-10,33586.51953125,12084.3603515625,4109.10986328125
2023-04-11,33684.7890625,12031.8798828125,4108.93994140625
2023-04-12,33646.5,11929.33984375,4091.949951171875
2023-04-13,34029.69140625,12166.26953125,4146.22021484375
2023-04-14,33886.46875,12123.4697265625,4137.64013671875
2023-04-17,33987.1796875,12157.7197265625,4151.31982421875
2023-04-18,33976.62890625,12153.41015625,4154.8701171875
2023-04-19,33897.01171875,12157.23046875,4154.52001953125
2023-04-20,33786.62109375,12059.5595703125,4129.7900390625
2023-04-21,33808.9609375,12072.4599609375,4133.52001953125
2023-04-24,33875.3984375,12037.2001953125,4137.0400390625
2023-04-25,33530.828125,11799.16015625,4071.6298828125
2023-04-26,33301.87109375,11854.349609375,4055.989990234375
2023-04-27,33826.16015625,12142.240234375,4135.35009765625
2023-04-28,34098.16015625,12226.580078125,4169.47998046875
2023-05-01,34051.69921875,12212.599609375,4167.8701171875
2023-05-02,33684.53125,12080.509765625,4119.580078125
2023-05-03,33414.23828125,12025.330078125,4090.75
2023-05-04,33127.73828125,11966.400390625,4061.219970703125
2023-05-05,33674.37890625,12235.41015625,4136.25
2023-05-08,33618.69140625,12256.919921875,4138.1201171875
2023-05-09,33561.80859375,12179.5498046875,4119.169921875
2023-05-10,33531.328125,12306.4404296875,4137.64013671875
2023-05-11,33309.51171875,12328.509765625,4130.6201171875
2023-05-12,33300.62109375,12284.740234375,4124.080078125
2023-05-15,33348.6015625,12365.2099609375,4136.27978515625
2023-05-16,33012.140625,12343.0498046875,4109.89990234375
2023-05-17,33420.76953125,12500.5703125,4158.77001953125
2023-05-18,33535.91015625,12688.83984375,4198.0498046875
2023-05-19,33426.62890625,12657.900390625,4191.97998046875
2023-05-22,33286.578125,12720.7802734375,4192.6298828125
2023-05-23,33055.51171875,12560.25,4145.580078125
2023-05-24,32799.921875,12484.16015625,4115.240234375
2023-05-25,32764.650390625,12698.08984375,4151.27978515625
2023-05-26,33093.33984375,12975.6904296875,4205.4501953125
2023-05-30,33042.78125,13017.4296875,4205.52001953125
2023-05-31,32908.26953125,12935.2900390625,4179.830078125
2023-06-01,33061.5703125,13100.98046875,4221.02001953125
2023-06-02,33762.76171875,13240.76953125,4282.3701171875
2023-06-05,33562.859375,13229.4296875,4273.7900390625
2023-06-06,33573.28125,13276.419921875,4283.85009765625
2023-06-07,33665.01953125,13104.900390625,4267.52001953125
2023-06-08,33833.609375,13238.51953125,4293.93017578125
2023-06-09,33876.78125,13259.1396484375,4298.85986328125
2023-06-12,34066.328125,13461.919921875,4338.93017578125
2023-06-13,34212.12109375,13573.3203125,4369.009765625
2023-06-14,33979.328125,13626.48046875,4372.58984375
2023-06-15,34408.05859375,13782.8203125,4425.83984375
2023-06-16,34299.12109375,13689.5703125,4409.58984375
2023-06-20,34053.87109375,13667.2900390625,4388.7099609375
2023-06-21,33951.51953125,13502.2001953125,4365.68994140625
2023-06-22,33946.7109375,13630.6103515625,4381.89013671875
2023-06-23,33727.4296875,13492.51953125,4348.330078125
2023-06-26,33714.7109375,13335.7802734375,4328.81982421875
2023-06-27,33926.73828125,13555.669921875,4378.41015625
2023-06-28,33852.66015625,13591.75,4376.85986328125
2023-06-29,34122.421875,13591.330078125,4396.43994140625
2023-06-30,34407.6015625,13787.919921875,4450.3798828125
2023-07-03,34418.46875,13816.76953125,4455.58984375
2023-07-05,34288.640625,13791.650390625,4446.81982421875
2023-07-06,33922.26171875,13679.0400390625,4411.58984375
2023-07-07,33734.87890625,13660.7197265625,4398.9501953125
2023-07-10,33944.3984375,13685.48046875,4409.52978515625
2023-07-11,34261.421875,13760.7001953125,4439.259765625
2023-07-12,34347.4296875,13918.9599609375,4472.16015625
2023-07-13,34395.140625,14138.5703125,4510.0400390625
2023-07-14,34509.03125,14113.7001953125,4505.419921875
2023-07-17,34585.3515625,14244.9501953125,4522.7900390625
2023-07-18,34951.9296875,14353.6396484375,4554.97998046875
2023-07-19,35061.2109375,14358.01953125,4565.72021484375
2023-07-20,35225.1796875,14063.3095703125,4534.8701171875
2023-07-21,35227.69140625,14032.8095703125,4536.33984375
2023-07-24,35411.23828125,14058.8701171875,4554.64013671875
2023-07-25,35438.0703125,14144.5595703125,4567.4599609375
2023-07-26,35520.12109375,14127.2802734375,4566.75
2023-07-27,35282.71875,14050.1103515625,4537.41015625
2023-07-28,35459.2890625,14316.66015625,4582.22998046875
2023-07-31,35559.53125,14346.01953125,4588.9599609375
2023-08-01,35630.6796875,14283.91015625,4576.72998046875
2023-08-02,35282.51953125,13973.4501953125,4513.39013671875
2023-08-03,35215.890625,13959.7197265625,4501.89013671875
2023-08-04,35065.62109375,13909.240234375,4478.02978515625
2023-08-07,35473.12890625,13994.400390625,4518.43994140625
2023-08-08,35314.48828125,13884.3203125,4499.3798828125
2023-08-09,35123.359375,13722.01953125,4467.7099609375
2023-08-10,35176.1484375,13737.990234375,4468.830078125
2023-08-11,35281.3984375,13644.849609375,4464.0498046875
2023-08-14,35307.62890625,13788.330078125,4489.72021484375
2023-08-15,34946.390625,13631.0498046875,4437.85986328125
2023-08-16,34765.73828125,13474.6298828125,4404.330078125
2023-08-17,34474.828125,13316.9296875,4370.35986328125
2023-08-18,34500.66015625,13290.7802734375,4369.7099609375
2023-08-21,34463.69140625,13497.58984375,4399.77001953125
2023-08-22,34288.828125,13505.8701171875,4387.5498046875
2023-08-23,34472.98046875,13721.0302734375,4436.009765625
2023-08-24,34099.421875,13463.9697265625,4376.31005859375
2023-08-25,34346.8984375,13590.650390625,4405.7099609375
2023-08-28,34559.98046875,13705.1298828125,4433.31005859375
2023-08-29,34852.671875,13943.759765625,4497.6298828125
2023-08-30,34890.23828125,14019.3095703125,4514.8701171875
2023-08-31,34721.91015625,14034.9697265625,4507.66015625
2023-09-01,34837.7109375,14031.8095703125,4515.77001953125
2023-09-05,34641.96875,14020.9501953125,4496.830078125
2023-09-06,34443.19140625,13872.4697265625,4465.47998046875
2023-09-07,34500.73046875,13748.830078125,4451.14013671875
2023-09-08,34576.58984375,13761.5302734375,4457.490234375
2023-09-11,34663.71875,13917.8896484375,4487.4599609375
2023-09-12,34645.98828125,13773.6103515625,4461.89990234375
2023-09-13,34575.53125,13813.58984375,4467.43994140625
2023-09-14,34907.109375,13926.0498046875,4505.10009765625
2023-09-15,34618.23828125,13708.330078125,4450.31982421875
2023-09-18,34624.30078125,13710.240234375,4453.52978515625
2023-09-19,34517.73046875,13678.1904296875,4443.9501953125
2023-09-20,34440.87890625,13469.1298828125,4402.2001953125
2023-09-21,34070.421875,13223.98046875,4330.0
2023-09-22,33963.83984375,13211.8095703125,4320.06005859375
2023-09-25,34006.87890625,13271.3203125,4337.43994140625
2023-09-26,33618.87890625,13063.6103515625,4273.52978515625
2023-09-27,33550.26953125,13092.849609375,4274.509765625
2023-09-28,33666.33984375,13201.2802734375,4299.7001953125
2023-09-29,33507.5,13219.3203125,4288.0498046875
2023-10-02,33433.3515625,13307.76953125,4288.39013671875
2023-10-03,33002.37890625,13059.4697265625,4229.4501953125
2023-10-04,33129.55078125,13236.009765625,4263.75
2023-10-05,33119.5703125,13219.830078125,4258.18994140625
2023-10-06,33407.578125,13431.33984375,4308.5
2023-10-09,33604.6484375,13484.240234375,4335.66015625
2023-10-10,33739.30078125,13562.83984375,4358.240234375
2023-10-11,33804.87109375,13659.6796875,4376.9501953125
2023-10-12,33631.140625,13574.2197265625,4349.60986328125
2023-10-13,33670.2890625,13407.23046875,4327.77978515625
2023-10-16,33984.5390625,13567.98046875,4373.6298828125
2023-10-17,33997.6484375,13533.75,4373.2001953125
2023-10-18,33665.078125,13314.2998046875,4314.60009765625
2023-10-19,33414.171875,13186.1796875,4278.0
2023-10-20,33127.28125,12983.8095703125,4224.16015625
2023-10-23,32936.41015625,13018.330078125,4217.0400390625
2023-10-24,33141.37890625,13139.8701171875,4247.68017578125
2023-10-25,33035.9296875,12821.2197265625,4186.77001953125
2023-10-26,32784.30078125,12595.6103515625,4137.22998046875
2023-10-27,32417.58984375,12643.009765625,4117.3701171875
2023-10-30,32928.9609375,12789.48046875,4166.81982421875
2023-10-31,33052.87109375,12851.240234375,4193.7998046875
2023-11-01,33274.578125,13061.4697265625,4237.85986328125
2023-11-02,33839.078125,13294.1904296875,4317.77978515625
2023-11-03,34061.3203125,13478.2802734375,4358.33984375
2023-11-06,34095.859375,13518.7802734375,4365.97998046875
2023-11-07,34152.6015625,13639.8603515625,4378.3798828125
2023-11-08,34112.26953125,13650.41015625,4382.77978515625
2023-11-09,33891.94140625,13521.4501953125,4347.35009765625
2023-11-10,34283.1015625,13798.1103515625,4415.240234375
2023-11-13,34337.87109375,13767.740234375,4411.5498046875
2023-11-14,34827.69921875,14094.3798828125,4495.7001953125
2023-11-15,34991.2109375,14103.83984375,4502.8798828125
2023-11-16,34945.46875,14113.669921875,4508.240234375
2023-11-17,34947.28125,14125.48046875,4514.02001953125
2023-11-20,35151.0390625,14284.5302734375,4547.3798828125
2023-11-21,35088.2890625,14199.98046875,4538.18994140625
2023-11-22,35273.03125,14265.8603515625,4556.6201171875
2023-11-24,35390.1484375,14250.849609375,4559.33984375
2023-11-27,35333.46875,14241.01953125,4550.43017578125
2023-11-28,35416.98046875,14281.759765625,4554.89013671875
2023-11-29,35430.421875,14258.490234375,4550.580078125
2023-11-30,35950.890625,14226.2197265625,4567.7998046875
2023-12-01,36245.5,14305.0302734375,4594.6298828125
2023-12-04,36204.44140625,14185.490234375,4569.77978515625
2023-12-05,36124.55859375,14229.91015625,4567.18017578125
2023-12-06,36054.4296875,14146.7099609375,4549.33984375
2023-12-07,36117.37890625,14339.990234375,4585.58984375
2023-12-08,36247.87109375,14403.9697265625,4604.3701171875
2023-12-11,36404.9296875,14432.490234375,4622.43994140625
2023-12-12,36577.94140625,14533.400390625,4643.7001953125
2023-12-13,37090.23828125,14733.9599609375,4707.08984375
2023-12-14,37248.3515625,14761.5595703125,4719.5498046875
2023-12-15,37305.16015625,14813.919921875,4719.18994140625
2023-12-18,37306.01953125,14904.8095703125,4740.56005859375
2023-12-19,37557.921875,15003.2197265625,4768.3701171875
2023-12-20,37082.0,14777.9404296875,4698.35009765625
2023-12-21,37404.3515625,14963.8701171875,4746.75
2023-12-22,37385.96875,14992.9697265625,4754.6298828125
2023-12-26,37545.328125,15074.5703125,4774.75
2023-12-27,37656.51953125,15099.1796875,4781.580078125
2023-12-28,37710.1015625,15095.1396484375,4783.35009765625
2023-12-29,37689.5390625,15011.349609375,4769.830078125
2024-01-02,37715.0390625,14765.9404296875,4742.830078125
2024-01-03,37430.19140625,14592.2099609375,4704.81005859375
2024-01-04,37440.33984375,14510.2998046875,4688.68017578125
2024-01-05,37466.109375,14524.0703125,4697.240234375
2024-01-08,37683.01171875,14843.76953125,4763.5400390625
2024-01-09,37525.16015625,14857.7099609375,4756.5
2024-01-10,37695.73046875,14969.650390625,4783.4501953125
2024-01-11,37711.01953125,14970.1904296875,4780.240234375
2024-01-12,37592.98046875,14972.759765625,4783.830078125
2024-01-16,37361.12109375,14944.349609375,4765.97998046875
2024-01-17,37266.671875,14855.6201171875,4739.2099609375
2024-01-18,37468.609375,15055.650390625,4780.93994140625
2024-01-19,37863.80078125,15310.9697265625,4839.81005859375
2024-01-22,38001.80859375,15360.2900390625,4850.43017578125
2024-01-23,37905.44921875,15425.9404296875,4864.60009765625
2024-01-24,37806.390625,15481.919921875,4868.5498046875
2024-01-25,38049.12890625,15510.5,4894.16015625
2024-01-26,38109.4296875,15455.3603515625,4890.97021484375
2024-01-29,38333.44921875,15628.0400390625,4927.93017578125
2024-01-30,38467.30859375,15509.900390625,4924.97021484375
2024-01-31,38150.30078125,15164.009765625,4845.64990234375
2024-02-01,38519.83984375,15361.6396484375,4906.18994140625
2024-02-02,38654.421875,15628.9501953125,4958.60986328125
2024-02-05,38380.12109375,15597.6796875,4942.81005859375
2024-02-06,38521.359375,15609.0,4954.22998046875
2024-02-07,38677.359375,15756.6396484375,4995.06005859375
2024-02-08,38726.328125,15793.7099609375,4997.91015625
2024-02-09,38671.69140625,15990.66015625,5026.60986328125
2024-02-12,38797.37890625,15942.5498046875,5021.83984375
2024-02-13,38272.75,15655.599609375,4953.169921875
2024-02-14,38424.26953125,15859.150390625,5000.6201171875
2024-02-15,38773.12109375,15906.169921875,5029.72998046875
2024-02-16,38627.98828125,15775.650390625,5005.56982421875
2024-02-20,38563.80078125,15630.7802734375,4975.509765625
2024-02-21,38612.23828125,15580.8701171875,4981.7998046875
2024-02-22,39069.109375,16041.6201171875,5087.02978515625
2024-02-23,39131.53125,15996.8203125,5088.7998046875
2024-02-26,39069.23046875,15976.25,5069.52978515625
